 ,Auditor,Close Date,ICO Size ($mn),Cumulative ICO Funding ($mn),coinmarketcap URL,Symbol,Current market capitalization (fully diluted) in USD,Trading volume (24hrs),website link (URL),whitepaper link (URL),Date,NOTES,Other links,DeadCoin Listing,Coinopsy Failure Reason,Value Creation % (less than 100% is value destruction),Volume as % of Raise,Volume as % of Market Cap,,Other research,ValueCreationNorm,Governance Transparency,Voting Eligibility,Decision/voting rights,Decision-making mechanism,Voting delegation,Specific governance roles,Internal on-chain audit,Execution quality KPI accountablity,Community co-creation of projects,Interface for centralized systems
GIFcoin,,6/13/2018, $ 2.80 ,#REF!,,,,,,,04/06/2021,Inactive,,DEAD,Main reasons for dead coin listing Abandoned or No Volume,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
GIFTO,,12/14/2017, $ 10.00 ,#REF!,https://coinmarketcap.com/currencies/gifto/,GTO,"39,676,509","58,785,587",https://gifto.io/,https://h.cdn.pengpengla.com/giftoh5/website-new/1.1.1/assets/GIFTO_Whitepaper_EN.pdf,06/06/2021,,,,,396.77%,587.86%,148.16%,,,3,,,,,,,,,,
Giga Watt,,7/31/2017, $ 18.68 ,#REF!,https://coinpaprika.com/coin/wtt-giga-watt-token/,WTT,"1,244,844.02",0,https://www.giga-watt.com/,https://cryptonomos.com/wtt/white-paper.pdf,06/06/2021,,,DEAD,Main reasons for dead coin listing Abandoned or No Volume,6.66%,0.00%,0.00%,,,1,,,,,,,,,,
Gilgam,,7/20/2017, $ 0.22 ,#REF!,,,,,,,06/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Gilgam.es,,7/20/2017, $ 0.21 ,#REF!,,,,,,,06/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Gimli,,10/20/2017, $ 1.72 ,#REF!,https://etherscan.io/token/0xae4f56f072c34c0a65b3ae3e4db797d831439d93,GIM,"73,056.00",,https://gimli.io/,https://gimli.io/wp-content/uploads/2017/07/Gimli-white-paper.pdf,06/06/2021,,,DEAD,Main reasons for dead coin listing Abandoned or No Volume,4.25%,0.00%,0.00%,,,1,,,,,,,,,,
Gladius,,12/29/2017, $ 14.68 ,#REF!,https://coinmarketcap.com/currencies/gladius-finance/,GLAD,"168,498",,https://gladius.finance/,https://gladius.finance/assets/files/Gladius_Light_Paper.pdf,06/06/2021,,,DEAD,,1.15%,0.00%,0.00%,,,1,,,,,,,,,,
Globitex,,3/12/2018, $ 12.50 ,#REF!,https://coinpaprika.com/coin/gbx-globitex/,GBX,"1,476,450.68",34.48,https://www.globitexico.com/,https://static.globitex.com/ico/wp.pdf,06/06/2021,,,,,11.81%,0.00%,0.00%,,,1,,,,,,,,,,
GoChain,,5/3/2018, $ 13.69 ,#REF!,https://coinmarketcap.com/currencies/gochain/,GO,"31,588,289.16","801,170.34",https://gochain.io/,,06/06/2021,,,DEAD,,230.74%,5.85%,2.54%,,,3,,,,,,,,,,
GoHelpFund,,4/24/2018, $ 0.11 ,#REF!,https://coinmarketcap.com/currencies/gohelpfund/,HELP,"41,014",no data,https://gohelpfund.com/,https://gohelpfund.com/assets/whitepaper.pdf,06/06/2021,,,,,35.93%,#VALUE!,#VALUE!,,,1,,,,,,,,,,
Golem,,11/11/2016, $ 8.60 ,#REF!,https://coinmarketcap.com/currencies/golem-network-tokens/,GLM,"279,129,872.00","2,295,718",https://golem.network/,https://golem.network/doc/Golemwhitepaper.pdf,06/07/2021,,,,,3245.70%,26.69%,0.82%,,,4,,,,,,,,,,
Golos,,12/4/2016, $ 0.45 ,#REF!,https://coinmarketcap.com/currencies/golos/,GOLOS,,,https://golos.io/,https://cyberway.gitbook.io/en/devportal/application_contracts/golos_contracts,06/07/2021,Inactive,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
GOToken,,7/3/2018,21,#REF!,https://etherscan.io/token/0x423b5f62b328d0d6d44870f4eee316befa0b2df5,,"205,916.00",,https://gonetwork.co/index.html,,04/06/2021,,,,,0.98%,0.00%,0.00%,,,1,,,,,,,,,,
Grain,,5/7/2018, $ 11.30 ,#REF!,https://coinmarketcap.com/currencies/grain-token/,,"1,038,613",no data,https://harvest.finance/,,05/06/2021,,,DEAD,Main reasons for dead coin listing Abandoned or No Volume,9.19%,#VALUE!,#VALUE!,,,1,,,,,,,,,,
Grain Pre-sale,,3/7/2018, $ 2.10 ,#REF!,https://coinmarketcap.com/currencies/grain-token/,GRAIN,"1,075,418",,https://harvest.finance/,,06/06/2021,,,,,51.21%,0.00%,0.00%,,,1,,,,,,,,,,
Gramaton Token,,7/24/2018,7,#REF!,,,,,,,03/06/2021,Inactive,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
GreenWorld Farm,,7/14/2018,4.6,#REF!,,,,,,,04/06/2021,Inactive,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Grid+ (GRID),,11/11/2017, $ 38.95 ,#REF!,https://coinmarketcap.com/currencies/grid/,GRID,"70,572,422","80,813",http://gridplus.io/,http://gridplus.io/whitepaper,06/06/2021,,,,,181.17%,0.21%,0.11%,,,3,,,,,,,,,,
GUTS Tickets,,12/13/2017, $ 7.52 ,#REF!,https://coinmarketcap.com/currencies/get-protocol/,GET,"100,052,520","1,070,827",https://guts.tickets/,https://guts.tickets/files/GET-Whitepaper-GUTS-Tickets-latest.pdf,06/06/2021,,,,,1330.33%,14.24%,1.07%,,,4,,,,,,,,,,
Hacken (HKN),,12/1/2017, $ 5.00 ,#REF!,https://coinmarketcap.com/currencies/hackenai/,HAI,"135,370,171","1,838,039",https://hackenfoundation.com/,https://hacken.io/hackenomics.pdf,06/06/2021,,,,,2707.40%,36.76%,1.36%,,,4,,,,,,,,,,
Hackspace Capital,,9/20/2017, $ 4.80 ,#REF!,,,,,,,06/06/2021,,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Hade,,1/26/2018, $ 4.14 ,#REF!,,,,,,,06/06/2021,Inactive,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Hamster Marketplace,,5/19/2018, $ 4.38 ,#REF!,https://coinranking.com/coin/uF06qNMgJfRXR+hamstermarketplacetoken-hmt,HMT,0,938.14,https://hmstr.io/,https://hmstr.io/files/hamster_ico_wp_rus_final.pdf,05/06/2021,,,,,0.00%,0.02%,#DIV/0!,,,1,,,,,,,,,,
Havven,,2/28/2018, $ 30.00 ,#REF!,https://coinmarketcap.com/currencies/haven-protocol/,XHV,"182,687,823","963,115",https://havenprotocol.org/,http://docs.havenprotocol.org/haven-protocol-wp-2_0.pdf,06/06/2021,,,,,608.96%,3.21%,0.53%,,,3,,,,,,,,,,
Hdac,,12/23/2017, $ 20.00 ,#REF!,https://coinmarketcap.com/currencies/hdac/,HDAC,"177,220,628","430,525",https://www.hdactech.com/,,06/06/2021,,,,,886.10%,2.15%,0.24%,,,3,,,,,,,,,,
HEAT,,8/16/2016, $ 0.90 ,#REF!,https://coinmarketcap.com/currencies/heat-ledger/,HEAT,"2,163,911",,http://heatledger.com/,http://heatledger.com/HEATWhitepaper.pdf,06/07/2021,,,DEAD,,240.43%,0.00%,0.00%,,,3,,,,,,,,,,
Hedge,,10/15/2017, $ 2.16 ,#REF!,https://coinmarketcap.com/currencies/hedget/,HGET,"63,918,609","436,606",https://www.hedget.com/,https://www.hedget.com/papers/hedget_whitepaper_eng.pdf,06/06/2021,,,,,2962.66%,20.24%,0.68%,,,4,,,,,,,,,,
Helbiz,,3/5/2018, $ 5.50 ,#REF!,,,,,,,06/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Hero Node,,5/17/2018, $ 21.77 ,#REF!,https://coinmarketcap.com/currencies/heronode/,HER,"1,207,938",453,https://heronode.io/,https://heronode.io/public/whitepapers/whitepaper_en.pdf,05/06/2021,,,DEAD,Main reasons for dead coin listing Abandoned or No Volume,5.55%,0.00%,0.04%,,,1,,,,,,,,,,
Hero Token (HERO),,2/28/2018, $ 30.29 ,#REF!,,,,,,,06/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
HEROcoin,,10/16/2017, $ 8.17 ,#REF!,https://coinmarketcap.com/currencies/herocoin/,PLAY,"5,779,540","20,342",https://www.herocoin.io/,https://s3-cdn.herocoin.io/HERO_Whitepaper.pdf,06/06/2021,,,,Main reasons for dead coin listing Abandoned or No Volume,70.73%,0.25%,0.35%,,,1,,,,,,,,,,
HOLD,,5/7/2018, $ 11.30 ,#REF!,https://etherscan.io/token/0xd6e1401a079922469e9b965cb090ea6ff64c6839,HOLD,"1,825,972",,https://hold.co/,https://hold.co/files/hold-whitepaper.pdf,05/06/2021,,,,Main reasons for dead coin listing Abandoned or No Volume,16.16%,0.00%,0.00%,https://coinmarketcap.com/currencies/hold/,,1,,,,,,,,,,
Holo,,4/28/2018, $ 20.39 ,#REF!,https://coinmarketcap.com/currencies/holo/,HOT,"1,515,405,173","141,307,641",https://holo.host/,https://holo.host/whitepapers/,06/06/2021,,,,,7432.65%,693.08%,9.32%,,,4,,,,,,,,,,
Honeybee,,7/1/2018,0.18,#REF!,,,,,,,04/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
HOQU (HOQU),,1/11/2018, $ 18.70 ,#REF!,https://coinmarketcap.com/currencies/hoqu/,HQX,"771,532","1,597,533",https://www.hoqu.io/,https://www.hoqu.io/hoqu-whitepaper-en.pdf,06/06/2021,,,,,4.13%,8.54%,207.06%,,,1,,,,,,,,,,
Horizon State,,10/30/2017, $ 0.89 ,#REF!,https://icomarks.com/ico/horizon-state,HST,,3.22,https://horizonstate.com/?utm_source=icomarks,https://horizonstate.com/horizon_state_white_paper.pdf,06/06/2021,,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Hubii,,9/7/2017, $ 6.68 ,#REF!,https://coinmarketcap.com/currencies/hubii-network/,HBT,"70,976,948","4,951",https://www.hubii.com/,https://www.hubii.network/hubii-network-whitepaper-en.pdf,06/06/2021,,,,,1062.53%,0.07%,0.01%,,,4,,,,,,,,,,
Humaniq,,4/27/2017, $ 5.16 ,#REF!,https://coinmarketcap.com/currencies/humaniq/,HMQ,"5,907,034","90,237",https://humaniq.com/,https://humaniq.com/pdf/humaniq_wp_english.pdf,06/06/2021,,,,,114.48%,1.75%,1.53%,,,3,,,,,,,,,,
Huobi,,2/28/2018, $ 300.00 ,#REF!,https://coinmarketcap.com/currencies/huobi-token/,HT,"7,841,517,848","316,734,888",https://www.hbg.com/,,06/06/2021,,,,,2613.84%,105.58%,4.04%,,,4,,,,,,,,,,
Hut34,,12/7/2017, $ 3.38 ,#REF!,https://www.coingecko.com/en/coins/hut34-entropy,ENTRP,,0.505263,https://hut34.io/,https://docsend.com/view/b4h7ygu/,06/06/2021,,,,,0.00%,0.00%,#DIV/0!,https://coinmarketcap.com/currencies/hut34-entropy/,,1,,,,,,,,,,
HybridBlock,,6/6/2018, $ 47.83 ,#REF!,https://etherscan.io/token/0x6059f55751603ead7dc6d280ad83a7b33d837c90,HYB,"184,122.20",69.39,https://hybridblock.io/,https://docs.hybridblock.io/whitepaper.pdf,04/06/2021,,https://coinpaprika.com/coin/hyb-hybrid-block/,,,0.38%,0.00%,0.04%,https://coinmarketcap.com/currencies/hybrid-block/,,1,,,,,,,,,,
HYCON,,5/10/2018, $ 3.65 ,#REF!,https://coinmarketcap.com/currencies/hycon/,HYC,"6,348,010","1,496",https://hycon.io/,https://hycon.io/doc/whitepaper_en.pdf,05/06/2021,,,,Main reasons for dead coin listing ICO Fail or Short Lived.,173.92%,0.04%,0.02%,,,3,,,,,,,,,,
IAC AutoUnit,,7/22/2018,10.69,#REF!,,,,,,,03/06/2021,Inactive,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
ICObox,,9/15/2017, $ 12.05 ,#REF!,,,,,,,06/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Icoo,,7/30/2016, $ 0.37 ,#REF!,https://coinmarketcap.com/currencies/ico-openledger/,ICOO,,,https://icoo.io/,,06/07/2021,Inactive,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
iDice,,6/26/2017, $ 2.02 ,#REF!,,,,,,,06/06/2021,Inactive,,DEAD,Main reasons for dead coin listing ICO Fail or Short Lived.,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
IEX.EC,,4/19/2017, $ 12.12 ,#REF!,https://coinmarketcap.com/currencies/rlc/,RLC,"410,678,897","17,664,120",https://iex.ec/,https://iex.ec/app/uploads/2017/04/iExec-WPv2.0-English.pdf,06/07/2021,,,,,3388.44%,145.74%,4.30%,,,4,,,,,,,,,,
Ignis (IGNIS),,11/4/2017, $ 18.30 ,#REF!,https://coinmarketcap.com/currencies/ignis/,IGNIS,"95,528,344","673,482",http://www.jelurida.com/ignis,https://www.jelurida.com/sites/default/files/JeluridaWhitepaper.pdf,06/06/2021,,,,,522.01%,3.68%,0.71%,,,3,,,,,,,,,,
Ignite Ratings,,2/28/2018, $ 3.00 ,#REF!,https://coinpaprika.com/coin/ignx-ignite-ratings/,IGNX,,4 067.02,https://igniteratings.com/,,06/06/2021,,,,,0.00%,#VALUE!,#VALUE!,,,1,,,,,,,,,,
Impak Finance,,9/20/2017, $ 1.05 ,#REF!,,,,,,,06/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Incent,,11/30/2016, $ 1.00 ,#REF!,https://coinmarketcap.com/currencies/incent/,INCNT,"6,734,224","596,668",https://incent.com/,,06/07/2021,,,,,673.42%,59.67%,8.86%,,,3,,,,,,,,,,
indaHash,,12/20/2017, $ 42.72 ,#REF!,https://coinmarketcap.com/currencies/indahash/,IDH,"2,359,605",50,https://indahash.com/,,06/06/2021,,,DEAD,Main reasons for dead coin listing ICO Fail or Short Lived.,5.52%,0.00%,0.00%,,,1,,,,,,,,,,
Indorse,,9/6/2017, $ 7.98 ,#REF!,https://coinmarketcap.com/currencies/indorse-token/,IND,"2,392,693",212,https://indorse.io/,https://indorse.io/static/media/Indorse-Whitepaper-v1.1.a733cc8e.pdf,06/06/2021,,,,,29.98%,0.00%,0.01%,,,1,,,,,,,,,,
Ink Protocol,,1/22/2018, $ 15.00 ,#REF!,https://coinmarketcap.com/currencies/ink-protocol/,XNK,"1,105,584",280,https://paywithink.com/,https://paywithink.com/wp-content/uploads/2018/02/Ink_Protocol_Whitepaper_V8_Listia_Inc.pdf,06/06/2021,,,,,7.37%,0.00%,0.03%,,,1,,,,,,,,,,
INS Ecosystem,,12/25/2017, $ 45.76 ,#REF!,,,,,,,06/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Insights Network (INSTAR),,2/9/2018, $ 17.40 ,#REF!,https://coinmarketcap.com/currencies/insights-network/,INSTAR,"8,062,671.19","61,315.96",https://instars.com/,https://s3.amazonaws.com/insightsnetwork/InsightsNetworkWhitepaperV0.5.pdf,06/06/2021,,,,,46.34%,0.35%,0.76%,,,1,,,,,,,,,,
Inspeer,,2/5/2018, $ 2.00 ,#REF!,https://www.coingecko.com/en/coins/inspeer,INSP,,,https://inspeer.io/,https://inspeer.io/files/Inspeer_WP.pdf,06/06/2021,Inactive,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
InsurePal (IPL),,1/16/2018, $ 18.00 ,#REF!,https://icomarks.com/ico/insurepal,IPL,,"34,065.47",https://pareto.network/,https://pareto.network/download/Pareto-Technical-White-Paper.pdf,06/06/2021,,,,,0.00%,0.19%,#DIV/0!,,,1,,,,,,,,,,
Insureum,,5/28/2018, $ 20.00 ,#REF!,https://coinmarketcap.com/currencies/insureum/,ISR,"8,625,759","313,912",https://www.insureum.co/,https://s3.ap-northeast-2.amazonaws.com/insureum/whitepaper_fix_final_forweb_en.pdf,05/06/2021,,,,,43.13%,1.57%,3.64%,,,1,,,,,,,,,,
InsureX,,7/13/2017, $ 17.27 ,#REF!,https://icomarks.com/ico/insurex,IXT,,16.33,http://www.insurex.co/?utm_source=icomarks,http://www.insurex.co/wp-content/uploads/2017/05/insurex_whitepaper.pdf,06/06/2021,,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Intelligent Trading Tech,,9/17/2017, $ 3.12 ,#REF!,,,,,,,06/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Internet of Coins,,6/21/2017, $ 1.10 ,#REF!,,,,,,,06/06/2021,Inactive,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Internxt,,9/28/2017, $ 0.16 ,#REF!,https://coinmarketcap.com/currencies/internxt/,INXT,"3,226,817","219,674",https://internxt.com/,https://internxt.com/whitepaper.pdf,06/06/2021,,,,,2016.76%,137.30%,6.81%,,,4,,,,,,,,,,
intimate,,6/7/2018, $ 12.50 ,#REF!,https://coinmarketcap.com/currencies/intimate/,ITM,,,https://intimate.io/,,04/06/2021,,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
iOlite (Pre-Sale),,5/1/2018, $ 2.23 ,#REF!,,,,,,,06/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Ionomy,,4/1/2016, $ 0.50 ,#REF!,https://coinmarketcap.com/exchanges/ionomy/,,,,https://ionomy.com/,,06/07/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
IP Exchange (IPSX),,3/5/2018, $ 7.90 ,#REF!,https://coinpaprika.com/coin/ipsx-ip-exchange/,IPSX,"328,250.66",0.14399,https://ip.sx/,https://ip.sx/dist/Whitepaper-IPSX-05.pdf,06/06/2021,,,,,4.16%,0.00%,0.00%,https://coinmarketcap.com/currencies/ip-exchange/,,1,,,,,,,,,,
IQeon,,3/13/2018, $ 1.63 ,#REF!,https://coinmarketcap.com/currencies/iqeon/,IQN,"11,790,821","883,317",https://iqeon.io/,https://iqeon.io/docs/IQeon_Whitepaper_EN.pdf,06/06/2021,,,,,725.51%,54.35%,7.49%,,,3,,,,,,,,,,
iungo,,1/31/2018, $ 45.98 ,#REF!,https://coinmarketcap.com/currencies/iungo/,ING,"143,072.60",0.399998,https://iungo.network/,https://iungo.network/docs/iungo-network-whitepaper.pdf,06/06/2021,,,,,0.31%,0.00%,0.00%,,,1,,,,,,,,,,
JET8,,3/6/2018, $ 32.70 ,#REF!,https://coinmarketcap.com/currencies/jet8/,J8T,,,https://jet8.io/,https://jet8.io/downloads/180223_J8T_Whitepaper_ENG.pdf,06/06/2021,,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Jibrel Network,,12/27/2017, $ 30.00 ,#REF!,https://coinpaprika.com/coin/jnt-jibrel-network/,JNT,,108.77,https://jibrel.network/,,06/06/2021,,,,,0.00%,0.00%,#DIV/0!,https://coinmarketcap.com/currencies/jibrel-network/,,1,,,,,,,,,,
Jibrel Network,,1/1/2018, $ 30.00 ,#REF!,https://icomarks.com/ico/jibrel-network,JNT,,"66,830.74",https://jibrel.network/?utm_source=icomarks,https://github.com/Yazan24/jibrelweb/raw/gh-pages/whitepaper.pdf,06/06/2021,,,,,0.00%,0.22%,#DIV/0!,https://coinmarketcap.com/currencies/jibrel-network/,,1,,,,,,,,,,
Joy Token,,4/21/2018, $ 3.34 ,#REF!,,,,,,,06/06/2021,Inactive,,DEAD,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
JOYSO,,3/22/2018, $ 4.10 ,#REF!,https://etherscan.io/token/0xDDe12a12A6f67156e0DA672be05c374e1B0a3e57,JOY,"13,209,200.00",,https://joyso.io/,https://joyso.io/whitepaper.pdf,06/06/2021,,,,,322.02%,0.00%,0.00%,https://coinmarketcap.com/exchanges/joyso/,,3,,,,,,,,,,
Just Dating Site,,9/30/2017, $ 0.35 ,#REF!,,,,,,,06/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Karios,,7/31/2018,13,#REF!,,,,,,,03/06/2021,Inactive,,,Main reasons for dead coin listing ICO Fail or Short Lived.,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Kerberos ICO,,5/1/2018, $ 0.66 ,#REF!,,,,,,,06/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Kibo Lotto,,11/9/2016, $ 1.90 ,#REF!,,,,,,,06/07/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
KICKICO,,9/16/2017, $ 17.12 ,#REF!,,,,,,,06/06/2021,Inactive,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
KIK,,9/26/2017, $ 98.00 ,#REF!,,,,,,,06/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Kleros,,7/15/2018,2.44,#REF!,https://coinmarketcap.com/currencies/kleros/,PNK,"126,762,641.40","4,067,426.08",https://kleros.io/,https://kleros.io/assets/whitepaper.pdf,03/06/2021,,,,,5195.19%,166.70%,3.21%,,,4,,,,,,,,,,
Knowledge,,4/21/2018, $ 7.69 ,#REF!,https://coinmarketcap.com/currencies/keystone-of-opportunity-knowledge/,,"6,009,883,417","10,567,090",https://kok-play.io/,https://dgf88q46bjg2n.cloudfront.net/attach/whitepaper/%EB%B0%B1%EC%84%9C%EC%98%81%EB%AC%B8.pdf,06/06/2021,,,DEAD,,78179.38%,137.46%,0.18%,,,4,,,,,,,,,,
KodakOne,,5/1/2018, $ 2.00 ,#REF!,,,,,,,06/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Kora Network (KNT),,6/1/2018, $ 12.00 ,#REF!,https://coinmarketcap.com/currencies/kora-network-token/,KNT,"525,285.70",43.36,https://kora.network/,,05/06/2021,,,,,4.38%,0.00%,0.01%,,,1,,,,,,,,,,
L Pesa,,5/10/2018, $ 7.96 ,#REF!,,,,,,,05/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
LaLa World (LALA),,1/13/2018, $ 20.20 ,#REF!,https://coinmarketcap.com/currencies/lala-world/,LALA,,,https://lalaworld.io/,https://lalaworld.io/whitepaper.pdf,06/06/2021,Inactive,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Lamden (TAU),,1/3/2018, $ 10.00 ,#REF!,https://coinmarketcap.com/currencies/lamden/,TAU,"13,150,106","50,261",https://lamden.io/,https://daks2k3a4ib2z.cloudfront.net/599f63af83acb10001bd4583/59d69f806fbb6f000123dbce_lamden-white-paper.pdf,06/06/2021,,,,,131.50%,0.50%,0.38%,,,3,,,,,,,,,,
Latium (LATX),,1/13/2018, $ 14.00 ,#REF!,https://coinpaprika.com/coin/latx-latiumx/,LATX,,0.530935,https://latium.org/,https://latium.org/whitepaper.pdf,06/06/2021,,,,,0.00%,0.00%,#DIV/0!,https://coinmarketcap.com/currencies/latiumx/,,1,,,,,,,,,,
LAToken (LAT),,10/11/2017, $ 19.36 ,#REF!,https://coinmarketcap.com/currencies/latoken/,LA,"120,502,600","9,168",https://latoken.com/,https://cdn-new.latoken.com/common/files/whitepaper/latoken-whitepaper-en.pdf,06/06/2021,,,,,622.42%,0.05%,0.01%,https://coinmarketcap.com/currencies/latoken/,,3,,,,,,,,,,
LeadCoin (LDC),,3/1/2018, $ 50.00 ,#REF!,https://coinmarketcap.com/currencies/leadcoin/,LDC,"452,670",,https://www.leadcoin.network/,https://drive.google.com/file/d/1YlZhHsvHuD0K0XRDz_W1M6xdhLvSZPcx/view,06/06/2021,,,DEAD,Main reasons for dead coin listing Abandoned or No Volume.,0.91%,0.00%,0.00%,,,1,,,,,,,,,,
Legends Room,,5/15/2017, $ 1.23 ,#REF!,,,,,,,06/06/2021,Inactive,,DEAD,Main reasons for dead coin listing Abandoned or No Volume.,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Legolas Exchange (LGO),,2/1/2018, $ 35.00 ,#REF!,,,,,,,06/06/2021,Inactive,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
LemoChain,,5/27/2018, $ 6.30 ,#REF!,https://coinmarketcap.com/currencies/lemochain/,LEMO,"28,654,016","393,510",https://www.lemochain.com/#/,https://lemochip.hellobyebye.com/LemoChain_WhitePaper_v2.1%20ENG.pdf,05/06/2021,,,,,454.83%,6.25%,1.37%,,,3,,,,,,,,,,
Lendingblock,,4/22/2018, $ 10.00 ,#REF!,https://coinmarketcap.com/currencies/lendingblock/,LND,"2,774,495","2,995",https://lendingblock.com/,https://lendingblock.com/#section-whitepaper,06/06/2021,,,DEAD,Main reasons for dead coin listing Abandoned or No Volume.,27.74%,0.03%,0.11%,,,1,,,,,,,,,,
Lendroid,,2/20/2018, $ 47.50 ,#REF!,https://coinpaprika.com/coin/lst-lendroid-support-token/,LST,"15,289,996.70",565.01,https://www.lendroid.com/,https://lendroid.com/assets/whitepaper-margin-trading.pdf,06/06/2021,,,,,32.19%,0.00%,0.00%,,,1,,,,,,,,,,
Leverj (LEV),,12/5/2017, $ 13.84 ,#REF!,https://coinpaprika.com/coin/lev-leverj/,LEV,,41.22,https://www.leverj.io/,https://leverj.io/whitepaper.pdf,06/06/2021,,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
LeviarCoin,,7/9/2017, $ 0.77 ,#REF!,,,,,,,06/06/2021,No information found,,DEAD,Main reasons for dead coin listing Abandoned or No Volume.,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
LH-Crypto,,2/1/2018, $ 10.81 ,#REF!,,,,,,,06/06/2021,Inactive,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Libra Credit,,5/5/2018, $ 26.40 ,#REF!,https://coinmarketcap.com/currencies/libra-credit/,LBA,"4,039,140.89","273,428.58",https://www.mycred.io/,https://www.libracredit.io/page/Libra%20Credit%20Whitepaper.pdf,06/06/2021,Cread is Ligra Credit. ,https://www.coinlore.com/coin/libra-credit,,,15.30%,1.04%,6.77%,,,1,,,,,,,,,,
LikeCoin,,5/21/2018, $ 5.40 ,#REF!,https://coinmarketcap.com/currencies/likecoin/,LIKE,"43,165,547","49,550",https://like.co/,https://like.co/in/likecoin-whitepaper-en.pdf,05/06/2021,,,,,799.36%,0.92%,0.11%,,,3,,,,,,,,,,
LinkerCoin,,12/31/2017, $ 10.13 ,#REF!,https://coinmarketcap.com/currencies/linker-coin/,LNC,"25,000,837",324,https://www.linkercoin.com/en,https://docs.wixstatic.com/ugd/4e7588_4bd05b0a780f42849f44280af1a51189.pdf,06/06/2021,,,,,246.72%,0.00%,0.00%,,,3,,,,,,,,,,
Liquidity Network,,7/19/2018,23.61,#REF!,https://coinmarketcap.com/currencies/liquidity-network/,LQD,"1,484,491.96","89,598.98",https://liquidity.network/,,03/06/2021,,,,,6.29%,0.38%,6.04%,,,1,,,,,,,,,,
LiveEdu,,1/28/2018, $ 10.00 ,#REF!,,,,,,,06/06/2021,Inactive,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
LiveTree Adept,,4/1/2018, $ 0.10 ,#REF!,,,,,,,06/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Loci,,12/31/2017, $ 7.38 ,#REF!,https://coinpaprika.com/coin/loci-locicoin/,LOCI,"295,422.00",80.43,https://locipro.com/,https://locipro.com/wp-content/uploads/2017/12/loci-full-whitepaper.pdf,06/06/2021,,,,,4.00%,0.00%,0.03%,https://coinmarketcap.com/currencies/locicoin/,,1,,,,,,,,,,
